English Concept,Concept Description,Persian lemmas or Gap,Persian Definition
"elder, daughter of mother's sibling",the oldest of a group of female humans offspring of mother's sibling,GAP,
"younger, daughter of mother's sibling",the youngest of a group of female humans offspring of mother's sibling,GAP,
grandchild,a child of your son or daughter ,نوه,فرزند فرزند
grandchild (female speaking),a child of your son or daughter if the speaker is male,GAP,
granddaughter,a child of your son or daughter if the speaker is female,GAP,
grandson,a male grandchild,GAP,
grandchild (male speaking),a female grandchild,GAP,
grandson (male speaking),a male grandchild  if the speaker is male,GAP,
grandson (female speaking),a male grandchild  if the speaker is female,GAP,
granddaughter (male speaking),a female grandchild if the speaker is male,GAP,
granddaughter (female speaking),a female grandchild if the speaker is female,GAP,
daughter's child,a human offspring (son or daughter) of any age of a son,دخترزاده,فرزند دختر
son's child,a human offspring (son or daughter) of any age of a adaughter,پسرزاده,فرزند پسر
son's child (male speaking),a human offspring (son or daughter) of any age of a son if the speaker is male,GAP,
son's child (female speaking),a human offspring (son or daughter) of any age of a son if the speaker is female,GAP,
daughter's child (male speaking),a human offspring (son or daughter) of any age of a adaughter if the speaker is male,GAP,
daughter's child (female speaking),a human offspring (son or daughter) of any age of a adaughter if the speaker is female,GAP,
son's daughter,a son of someone's son,GAP,
son's son,a daughter of someone's son,GAP,
daughter's daughter,a son of someone's daughter,GAP,
daughter's son,a daughter of someone's daughter,GAP,
son's son (male speaking),a son of someone's son if the speaker is male,GAP,
son's son (female speaking),a son of someone's son if the speaker is female,GAP,
son's daughter (male speaking),a daughter of someone's son if the speaker is male,GAP,
daughter's son (male speaking),a daughter of someone's son if the speaker is female,GAP,
daughter's son (female speaking),a son of someone's daughter if the speaker is male,GAP,
son's daughter (female speaking),a son of someone's daughter if the speaker is female,GAP,
eldest child,a daughter of someone's daughter if the speaker is male,فرزند ارشد,بزرگترین فرزند
daughter's daughter (male speaking),a daughter of someone's daughter if the speaker is female,GAP,
daughter's daughter (female speaking),[eng] eldest child (the offspring who came first in the order of birth),GAP,
grandparent,a parent of your father or mother,GAP,
grandfather,the father of your father or mother,پدربزرگ,پدر والد
paternal grandparent, your grandparents on your father's side,GAP,
grandparent (male speaking), your grandparents on your mother's side,GAP,
grandparent (female speaking),a parent of your father or mother if the speaker is male,GAP,
grandmother,a parent of your father or mother if the speaker is female,مادربزرگ,مادر والد
maternal grandparent,the mother of your father or mother,GAP,
paternal grandfather, your grandfather on your father's side,پدربزرگ پدری,پدر پدر
maternal grandfather, your grandfather on your mother's side,پدربزرگ مادری,پدر مادر
maternal grandmother, your grandmother on your father's side,مادربزرگ مادری,مادر مادر
paternal grandmother, your grandmother on your mother's side,مادربزرگ پدری,مادر پدر
grandfather (male speaking),the father of your father or mother if the speaker is male,GAP,
grandmother (male speaking),the father of your father or mother if the speaker is female,GAP,
grandfather (female speaking),the mother of your father or mother if the speaker is male,GAP,
grandmother (female speaking),the mother of your father or mother if the speaker is female,GAP,
paternal grandfather (male speaking), your grandfather on your father's side if the speaker is male,GAP,
paternal grandfather (female speaking), your grandfather on your father's side if the speaker is female,GAP,
maternal grandmother (male speaking), your grandmother on your mother's side if the speaker is male,GAP,
maternal grandmother (female speaking), your grandmother on your mother's side if the speaker is female,GAP,
nibling," a child of one's sibling, such as a niece or nephew",GAP,
nephew,a son of your brother or sister,GAP,
niece,a daughter of your brother or sister,GAP,
brother's child,the son of someone's brother,برادرزاده,فرزند برادر
sister's child,the daughter of someone's brother,خواهرزاده,فرزند خواهر
brother's child (female speaking),the son of someone's brother if the speaker is female,GAP,
sister's child (male speaking),the daughter of someone's brother if the speaker is male,GAP,
brother's son,the male human offspring of someone's brother,GAP,
brother's daughter,the female human offspring of someone's brother,GAP,
sister's son,the male human offspring of someone's sister,GAP,
sister's daughter,the female human offspring of someone's sister,GAP,
brother's son (male speaking),the male human offspring of someone's brother if the speaker is male,GAP,
brother's son (female speaking),the male human offspring of someone's brother if the speaker is female,GAP,
brother's daughter (male speaking),the female human offspring of someone's brother if the speaker is male,GAP,
sister's son (male speaking),the male human offspring of someone's sister if the speaker is male,GAP,
elder brother's child,the male human offspring of someone's sister if the speaker is female,GAP,
sister's son (female speaking),the female human offspring of someone's sister if the speaker is female,GAP,
sister's daughter (female speaking), the oldest of a group of brother's sons,GAP,
younger brother's child, the youngest of a group of brother's sons,GAP,
younger sister's child, the oldest of a group of sister's sons,GAP,
elder sister's child, the youngest of a group of sister's sons,GAP,
younger brother's child (male speaking), the oldest of a group of brother's sons if the speaker is male,GAP,
elder brother's child (male speaking), the youngest of a group of brother's sons if the speaker is male,GAP,
elder sister's child (female speaking), the oldest of a group of sister's sons if the speaker is female,GAP,
younger sister's child (female speaking), the younest of a group of sister's sons if the speaker is female,GAP,
elder brother's son, the oldest of a group of brother's children,GAP,
elder brother's daughter, the oldest of a group of the female human offspring of someone's brother,GAP,
younger brother's son, the younest of a group of brother's children,GAP,
elder sister's son, the youngest of a group of the female human offspring of someone's brother,GAP,
younger brother's daughter, the oldest of a group of sister's children,GAP,
elder sister's daughter, the oldest of a group of the female human offspring of someone's sister,GAP,
younger sister's son, the younest of a group of sister's children,GAP,
younger sister's daughter, the youngest of a group of the female human offspring of someone's sister,GAP,
full brother's son,[eng] the son of male person who has the same parents as another person,GAP,
full sister's daughter,[eng] the daughter of male person who has the same parents as another person,GAP,
full brother's daughter,[eng] the son of female person who has the same parents as another person,GAP,
full sister's son,[eng] the daughter of female person who has the same parents as another person,GAP,
auncle,the brother of your father or mother; the husband of your aunt,GAP,
aunt,the brother of your father or mother; the husband of your aunt,GAP,
mother's sibling,he sister of your father or mother; the wife of your uncle,GAP,
maternal uncle,a father's brother or sister ,دایی,برادر مادر
paternal uncle,a mother's brother or sister ,عمو,برادر پدر
father's sibling,A brother of someone's father,GAP,
uncle,A brother of someone's mother,GAP,
paternal aunt,A sister of someone's father,عمه,خواهر پدر
maternal aunt,A sister of someone's mother,خاله,خواهر مادر
paternal uncle (female speaking),A brother of someone's father if the speaker is male,GAP,
paternal aunt (female speaking),A brother of someone's father if the speaker is female,GAP,
paternal aunt (male speaking),A sister of someone's father if the speaker is male,GAP,
paternal uncle (male speaking),A sister of someone's father if the speaker is female,GAP,
parent's elder brother,the oldest of parent's brothers,GAP,
parent's elder sister,the oldest of parent's sisters,GAP,
parent's younger brother,the youngest of parent's brothers,GAP,
mother's younger sibling,the youngest of parent's sisters,GAP,
father's younger sibling, the youngest of father's brothers or sisters ,GAP,
parent's younger sister, the youngest of mother's brothers or sisters ,GAP,
father's elder brother,the oldest of father's brothers,GAP,
father's elder sister,the youngest of father's brothers,GAP,
father's younger brother,the oldest of father's sisters,GAP,
father's younger sister,the youngest of father's sisters,GAP,
mother's elder brother,the oldest of father's sisters,GAP,
mother's younger brother,the oldest of mother's sisters,GAP,
mother's elder sister,the oldest of mother's sisters,GAP,
mother's younger sister,the youngest of mother's sisters,GAP,
sibling,a person's brother or sister,GAP,
brother (male speaking),a male with the same parents as someone else,GAP,
sister,a female person who has the same parents as another person,"خواهر، آبجی",خواهر
sister (male speaking),a male with the same parents as someone else if the speaker is male,GAP,
brother,a male with the same parents as someone else if the speaker is female,"برادر، داداش",برادر
brother (female speaking),a female person who has the same parents as another person if the speaker is male,GAP,
sister (female speaking),a female person who has the same parents as another person if the speaker is female,GAP,
elder sibling,the oldest of a group of siblings,GAP,
elder sister,the youngest of a group of siblings,GAP,
younger brother,the oldest of a group of brothers,GAP,
younger sister,the oldest of a group of sisters,GAP,
elder brother,the youngest of a group of brothers,GAP,
younger sibling,the youngest of a group of sisters,GAP,
elder brother (male speaking),the oldest of a group of brothers if the speaker is male,GAP,
elder brother (female speaking),the oldest of a group of brothers if the speaker is female,GAP,
elder sister (male speaking),the oldest of a group of sisters if the speaker is male,GAP,
younger brother (female speaking),the oldest of a group of sisters if the speaker is female,GAP,
elder sister (female speaking),the youngest of a group of brothers if the speaker is male,GAP,
younger brother (male speaking),the youngest of a group of brothers if the speaker is female,GAP,
younger sister (male speaking),the youngest of a group of sisters if the speaker is male,GAP,
younger sister (female speaking),the youngest of a group of sisters if the speaker is female,GAP,
breastfeeding brother,[eng] A male person who has the same breastfeeding woman as another person,برادر رضاعی,شخص مذکری که هردو از یک سینه شیر خورده‌اید
full brother,[eng] A male person who has the same parents as another person,برادر تنی,برادر با پدر و مادر یکسان با شما
peternal brother,[eng] A male person who has the same father as another person,GAP,
breastfeeding sister,[eng] A male person who has the same mother as another person,خواهر رضاعی,شخص مونثی که هردو از یک سینه شیر خورده‌اید
maternal brother,[eng] A female person who has the same breastfeeding woman as another person,GAP,
full sister,[eng] A female person who has the same parents as another person,خواهر تنی,خواهر با پدر و مادر یکسان با شما
peternal sister,[eng] A female person who has the same father as another person,GAP,
maternal sister,[eng] A female person who has the same mother as another person,GAP,
